评分项,分值,关键词,应答章节,证据材料,风险提示
项目理解与需求分析,8,项目背景 / 业务现状 / 需求理解 / B区实际情况,第二章 项目理解与需求分析,无,高分值 须结合B区8街道42社区35万人口等本地化数据
总体技术架构,10,技术架构 / 合理性 / 先进性 / 可扩展性 / 架构图,第三章 技术方案 3.1,架构图(自绘),高分值 必须附架构图 禁止用通用模板图
功能模块设计-社区服务子系统,4,居民事务 / 便民服务 / 公告 / 志愿者,第三章 技术方案 3.2.1,功能清单,覆盖度是关键 逐项对照采购需求3.2条
功能模块设计-网格治理子系统,4,网格划分 / 事件上报 / 巡查轨迹 / 处置闭环,第三章 技术方案 3.2.2,功能清单,覆盖度是关键 逐项对照采购需求3.2条
功能模块设计-数据驾驶舱与移动端,4,数据可视化 / 大屏 / 小程序 / 移动APP,第三章 技术方案 3.2.3-3.2.4,界面原型或效果图,大屏和PC双模式展示是硬性要求
数据架构与安全方案,8,数据架构 / 等保二级 / 数据备份 / 开放接口,第三章 技术方案 3.3-3.4,等保设计文档,★条款 等保二级是实质性响应 必须详述
项目实施方案,7,实施计划 / 里程碑 / 风险预案 / WBS / 甘特图,第四章 项目管理 4.1-4.2,甘特图,里程碑必须对齐招标文件四个节点(30/90/150/180天)
团队配置,8,项目团队 / 人员配置 / 关键人员资质,第四章 项目管理 4.3,人员证书 社保证明,项目经理PMP是资格要求 须附证书复印件
质量保障措施,5,质量管理 / 测试方案 / ISO9001,第四章 项目管理 4.4,ISO9001证书,通用项 体系完善即可
类似业绩,7,近三年 / 类似项目 / 合同 / 验收,第六章 公司业绩,合同复印件 验收证明,按数量阶梯计分(3个=7分 2个=5分) 我方有3个
售后服务与培训,5,运维服务 / 培训方案 / 质保期 / 故障响应,第五章 售后服务 5.1-5.2,服务承诺函,★条款 质保期≥3年是实质性响应
